month_period,temp,lat,lon,ghcn_id
2014-01-01,23.3,33.8647,-117.8425,USC00040192
2014-01-02,26.700000000000003,33.8647,-117.8425,USC00040192
2014-01-03,24.400000000000002,33.8647,-117.8425,USC00040192
2014-01-04,23.3,33.8647,-117.8425,USC00040192
2014-01-05,27.8,33.8647,-117.8425,USC00040192
2014-01-06,27.8,33.8647,-117.8425,USC00040192
2014-01-07,27.200000000000003,33.8647,-117.8425,USC00040192
2014-01-08,21.1,33.8647,-117.8425,USC00040192
2014-01-09,17.8,33.8647,-117.8425,USC00040192
2014-01-10,22.8,33.8647,-117.8425,USC00040192
2014-01-11,23.900000000000002,33.8647,-117.8425,USC00040192
2014-01-12,22.8,33.8647,-117.8425,USC00040192
2014-01-13,26.700000000000003,33.8647,-117.8425,USC00040192
2014-01-14,30.6,33.8647,-117.8425,USC00040192
2014-01-15,30.6,33.8647,-117.8425,USC00040192
2014-01-16,31.700000000000003,33.8647,-117.8425,USC00040192
2014-01-17,32.2,33.8647,-117.8425,USC00040192
2014-01-18,28.900000000000002,33.8647,-117.8425,USC00040192
2014-01-19,27.200000000000003,33.8647,-117.8425,USC00040192
2014-01-20,29.400000000000002,33.8647,-117.8425,USC00040192
2014-01-21,25.6,33.8647,-117.8425,USC00040192
2014-01-22,25.6,33.8647,-117.8425,USC00040192
2014-01-23,22.200000000000003,33.8647,-117.8425,USC00040192
2014-01-24,22.8,33.8647,-117.8425,USC00040192
2014-01-25,26.700000000000003,33.8647,-117.8425,USC00040192
2014-01-26,21.1,33.8647,-117.8425,USC00040192
2014-01-27,22.8,33.8647,-117.8425,USC00040192
2014-01-28,22.8,33.8647,-117.8425,USC00040192
2014-01-29,25.6,33.8647,-117.8425,USC00040192
2014-01-30,22.200000000000003,33.8647,-117.8425,USC00040192
2014-01-31,17.2,33.8647,-117.8425,USC00040192
2014-02-01,20.0,33.8647,-117.8425,USC00040192
2014-02-02,18.3,33.8647,-117.8425,USC00040192
2014-02-03,16.7,33.8647,-117.8425,USC00040192
2014-02-04,18.3,33.8647,-117.8425,USC00040192
2014-02-05,18.900000000000002,33.8647,-117.8425,USC00040192
2014-02-06,16.1,33.8647,-117.8425,USC00040192
2014-02-07,18.900000000000002,33.8647,-117.8425,USC00040192
2014-02-08,19.400000000000002,33.8647,-117.8425,USC00040192
2014-02-09,21.1,33.8647,-117.8425,USC00040192
2014-02-10,21.700000000000003,33.8647,-117.8425,USC00040192
2014-02-11,23.3,33.8647,-117.8425,USC00040192
2014-02-12,27.200000000000003,33.8647,-117.8425,USC00040192
2014-02-13,28.3,33.8647,-117.8425,USC00040192
2014-02-14,28.3,33.8647,-117.8425,USC00040192
2014-02-15,27.200000000000003,33.8647,-117.8425,USC00040192
2014-02-16,25.0,33.8647,-117.8425,USC00040192
2014-02-17,22.200000000000003,33.8647,-117.8425,USC00040192
2014-02-18,23.3,33.8647,-117.8425,USC00040192
2014-02-19,21.700000000000003,33.8647,-117.8425,USC00040192
