native_id,met_monitor_id,state,cbsa,latitude,longitude,pct_available
KSLK,501,NY,99999,44.38528,-74.20667,0.9917
KSMO,90,CA,31084,34.01583,-118.45139,0.9945
KSMP,748,WA,99999,47.2767,-121.3372,0.848
KSMQ,463,NJ,20764,40.62389,-74.66944,1
KSMX,91,CA,42060,34.8994,-120.4486,0.9959
KSNS,70,CA,41500,36.6636,-121.6081,0.9986
KSNT,210,ID,99999,44.17083,-114.92722,1
KSNY,443,NE,99999,41.10139,-102.98472,0.9544
KSPB,563,OR,38900,45.77278,-122.86111,1
KSPD,119,CO,99999,37.28333,-102.61389,1
KSPI,230,IL,44100,39.8447,-89.6839,1
KSPS,673,TX,48660,33.9786,-98.4928,1
KSPW,200,IA,99999,43.16444,-95.20167,1
KSRQ,173,FL,35840,27.40139,-82.55861,0.9986
KSSF,687,TX,41700,29.3389,-98.472,0.9986
KSSI,178,GA,15260,31.1522,-81.3908,0.9944
KSTC,361,MN,33460,45.5433,-94.0513,0.9972
KSTJ,379,MO,41140,39.7736,-94.9233,1
KSTP,359,MN,33460,44.93194,-93.05556,0.9958
KSUS,372,MO,41180,38.65722,-90.65583,0.9942
KSUX,196,IA,43580,42.3913,-96.3791,0.9959
KSWO,543,OK,99999,36.1624,-97.0894,1
KSXT,569,OR,99999,42.6003,-123.3641,1
KSYR,496,NY,45060,43.1111,-76.1038,1
KTAN,300,MA,39300,41.87556,-71.02111,0.9945
KTCC,474,NM,99999,35.18222,-103.60306,0.9958
KTCL,20,AL,46220,33.2119,-87.6161,1
KTCS,479,NM,99999,33.23667,-107.26806,1
KTDZ,526,OH,45780,41.56306,-83.47639,1
KTEB,465,NJ,35644,40.85,-74.06139,1
KTHV,584,PA,49620,39.91806,-76.87417,1
KTIW,749,WA,45104,47.2675,-122.57611,0.9959
KTKI,670,TX,19124,33.1902,-96.5913,1
KTLH,169,FL,45220,30.39306,-84.35333,1
KTMB,157,FL,33124,25.6475,-80.43306,0.9959
KTOI,13,AL,99999,31.86056,-86.01222,0.9986
KTOL,527,OH,45780,41.58861,-83.80139,1
KTOP,252,KS,45820,39.0725,-95.6261,0.9959
KTOR,781,WY,99999,42.06472,-104.15278,0.9875
KTPA,175,FL,45300,27.9619,-82.5403,1
KTQE,446,NE,99999,41.76361,-96.17778,0.9986
KTRI,636,TN,28700,36.4731,-82.4044,1
KTRL,664,TX,19124,32.71,-96.26722,1
KTTD,564,OR,38900,45.55111,-122.40889,1
KTTN,462,NJ,45940,40.27694,-74.81583,0.9959
KTUL,544,OK,46140,36.1994,-95.8872,1
KTUP,384,MS,99999,34.2622,-88.7713,1
KTUS,34,AZ,46060,32.1313,-110.9552,1
KTVC,326,MI,99999,44.74083,-85.5825,1
KTVL,53,CA,40900,38.8983,-119.9947,0.9958
KTVR,281,LA,99999,32.35,-91.02778,1
KTXK,29,AR,45500,33.4536,-94.0074,1
KTYR,659,TX,46340,32.35417,-95.4025,0.9972
KTYS,631,TN,28940,35.8181,-83.9858,1
KUAO,565,OR,41420,45.24861,-122.76861,1
KUGN,227,IL,29404,42.41667,-87.86667,1
KUIL,738,WA,99999,47.9375,-124.555,0.9986
